BLL112	#4	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 2A	other -	built 1	[modal 1 image] [Modal 1 text] [Modal 2 image] [Modal 2 text] [Modal 3 image] [Modal 3 text] [Modal 
BLL113	#2	selfCheck+selfCheck,selfCheck	act -	other -	built 0	[self check] [self check] [self check]
BLL115	#4	unclassified+selfCheck	act 2A	other -	built 0	[audio] can we attach the audio so when the ākonga click or hover over them they say the word. [body
BLL116	#5	accordion+accordion,accordion,accordion,accordion,accordion,accordion,accordion,accordion	act 2B	other -	built 1	[accordion] [accordion 1] [accordion 2] [accordion 3] [accordion 4] [accordion 5] [accordion 6] [acc
BLL120	#2	selfCheck+selfCheck	act 1C	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL120	#4	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal	act 1G	other -	built 1	[Modal 1 Image] [Modal 1 text] 1. [Modal 2 Image] [Modal 2 text] [video] [Modal 3 Image] [Modal 3 te
BLL120	#5	carousel+flipCard	act 2B	other -	built 0	[Rolling banner] Can we have something like this please, where the images are in the rolling banner 
BLL120	#7	selfCheck+selfCheck	act 2D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL120	#8	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 2H	other -	built 1	[Modal 1 Image] [Modal 1 text] 1. [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [vid
BLL120	#9	selfCheck+selfCheck	act -	other -	built 0	[Self check activity] Show ‘check’ for cap, cup, and car. [body] 2. [Self check activity] Show ‘chec
BLL120	#14	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act -	other -	built 1	[Modal 1 Image] [Modal 1 text] 1. [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [vid
BLL120	#16	carousel+flipCard	act 4B	other -	built 0	[Rolling banner] Can we have something like this please, where the images are in the rolling banner 
BLL120	#18	selfCheck+selfCheck	act 4D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL120	#19	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 4I	other -	built 1	[Modal 1 Image] [Modal 1 text] 1. [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [vid
BLL120	#22	selfCheck+selfCheck	act 5D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL120	#23	unclassified+flipCard	act 5G	other 5H	built 0	[Activity 5H] [Flip cards] [Set up function so that when the word is hit a picture of each word is r
BLL120	#24	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 5I	other -	built 1	[Modal 1 Image] [Modal 1 text] 1. [Modal 2 Image] [Modal 2 text] 2. [Modal 3 Image] [Modal 3 text] [
BLL120	#26	carousel+flipCard	act 6B	other -	built 0	[Rolling banner] Can we have something like this please, where the images are in the rolling banner 
BLL120	#28	selfCheck+selfCheck	act 6D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL120	#29	unclassified+flipCard	act 6G	other 6H	built 0	[Activity 6H] [Flip cards] [Set up function so that when the word is hit a picture of each word is r
BLL120	#30	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 6I	other -	built 1	[Modal 1 Image] [Modal 1 text] 1. [Modal 2 Image] [Modal 2 text] 2. [Modal 3 Image] [Modal 3 text] [
BLL120	#33	selfCheck+selfCheck	act 7D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL120	#34	unclassified+flipCard	act 7G	other 7H	built 0	[Activity 7H] [Flip cards]1. [Set up function so that when the word is hit a picture of each word is
BLL120	#35	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 7I	other -	built 1	[Modal 1 Image] [Modal 1 text] 1. [Modal 2 Image] [Modal 2 text] 2. [Modal 3 Image] [Modal 3 text] [
BLL120	#37	carousel+flipCard	act 8B	other -	built 0	[Rolling banner] Can we have something like this please, where the images are in the rolling banner 
BLL120	#39	selfCheck+selfCheck	act 8D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL120	#41	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 8H	other -	built 1	[Modal 1 Image] [Modal 1 text] 1. [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [vid
BLL121	#7	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 2E	other -	built 0	[modal 1 image] [Modal 1 text] [modal 2 image] [Modal 2 text] [modal 3 image] [Modal 3 text] [modal 
BLL122	#2	dragAndDrop+dragAndDrop	act -	other -	built 0	[drop and drag] Can we make something like this please and can they get ‘ticked’ when they have made
BLL122	#5	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 2A	other -	built 1	[Modal 1 image] [Modal 1 text] [Modal 2 image] [Modal 2 text] [modal 3 image] [Modal 3 text] [Modal 
BLL123	#5	flipCard+flipCard,flipCard,flipCard,flipCard,flipCard	act -	other -	built 1	[Flip cards] Please present each word on a flip card, so that one word is revealed at a time. Exampl
BLL124	#9	unclassified+selfCheck	act 2A	other -	built 0	[self check] can the self check of this activity show how many turns they took to match all 5 pairs.
BLL125	#3	unclassified+selfCheck	act 1C	other -	built 0	Can we attach the audio next to the words please. [Body] [Body] [Self check]
BLL125	#6	modal+modal,modal,modal,modal,modal	act 2B	other -	built 1	[Modal 1 image] [Modal 1 text] [Modal 2 image] [Modal 2 text] [Modal 3 image] [Modal 3 text]
BLL125	#8	modal+modal,modal,modal,modal,modal	act 2E	other -	built 1	[Modal 1 image] [Modal 1 text] [Modal 2 image] [Modal 2 text] [Modal 3 image] [Modal 3 text] [Body]
BLL126	#5	accordion+accordion,accordion,accordion,accordion,accordion,accordion,accordion,accordion	act -	other -	built 1	[accordion] [accordion 1] [accordion 2] [accordion 3] [accordion 4] [accordion 5] [accordion 6] [acc
BLL127	#2	flipCard+flipCard,flipCard,flipCard,flipCard,flipCard,flipCard	act -	other -	built 0	[flipcards] Please have these presented in one line like this [1st flipcard image] - [2nd flipcard i
BLL127	#6	accordion+accordion	act -	other -	built 1	[accordion] [accordion] [Body]
BLL130	#1	carousel+flipCard	act 1A	other -	built 0	[Rolling banner] Can we have something like this please, where the images are in the rolling banner 
BLL130	#3	selfCheck+selfCheck	act 1C	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL130	#5	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 1G	other -	built 1	[Modal 1 Image] [Modal 1 text] [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [video]
BLL130	#7	carousel+flipCard	act 2B	other -	built 0	[Rolling banner] Can we have something like this please, where the images are in the rolling banner 
BLL130	#9	selfCheck+selfCheck	act 2D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL130	#11	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 2H	other -	built 1	[Modal 1 Image] [Modal 1 text] [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [video]
BLL130	#12	carousel+flipCard	act 3B	other -	built 0	[Rolling banner] Can we have something like this please, where the images are in the rolling banner 
BLL130	#14	selfCheck+selfCheck	act 3D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL130	#16	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 3H	other -	built 1	[Modal 1 Image] [Modal 1 text] [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [video]
BLL130	#17	carousel+flipCard	act 1D	other -	built 0	[Rolling banner] Can we have something like this please, where the images are in the rolling banner 
BLL130	#19	selfCheck+selfCheck	act 4D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL130	#21	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 4H	other -	built 1	[Modal 1 Image] [Modal 1 text] [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [video]
BLL130	#22	carousel+flipCard	act 5B	other -	built 0	[Rolling banner] Can we have something like this please, where the images are in the rolling banner 
BLL130	#24	selfCheck+selfCheck	act 5D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL130	#26	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 5H	other -	built 1	[Modal 1 Image] [Modal 1 text] [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [video]
BLL130	#27	carousel+flipCard	act 6B	other -	built 0	[Rolling banner] Can we have something like this please, where the images are in the rolling banner 
BLL130	#29	selfCheck+selfCheck	act 6D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL130	#30	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 6H	other -	built 1	[Modal 1 Image] [Modal 1 text] [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [video]
BLL132	#1	modal+modal,modal,modal,modal,modal	act 1B	other -	built 0	[Modal 1 Image] [Modal Text] Embed the story Tap Tap to be read side by side not down the page. Also
BLL140	#2	selfCheck+selfCheck	act 1C	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL140	#4	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 1H	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL140	#11	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 3G	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL140	#16	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 4G	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL140	#21	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 5G	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL140	#26	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 5H	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL140	#31	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 7G	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL143	#7	unclassified+dragAndDrop	act 2A	other 2B	built 0	[Body] Can we have the pictures at the bottom (or on the side) for the ākonga to drag them to match 
BLL143	#9	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 2C	other -	built 1	[Modal 1 image] [Modal 1 text] [Modal 2 image] [Modal 2 text] [Modal 3 image] [Modal 3 text] [Modal 
BLL144	#1	dragAndDrop+selfCheck	act 1A	other -	built 0	[Activity 1A] [Fill in the blanks drag and drop] [Please set up this next task so that ākonga can se
BLL145	#1	selfCheck+selfCheck	act -	other -	built 0	[self check] [self check]
BLL146	#5	modal+modal,modal,modal,modal,modal	act 2A	other -	built 0	[Modal 1 image] [Modal 1 text] [embed link] [Modal 2 image] [Modal 2 text] [Modal 3 image] [Modal 3 
BLL147	#8	carousel+dropDown	act 2D	other -	built 0	[carousel] [embed book 1] Are we able to embed just the story into the module, not the other ‘stuff’
BLL150	#2	selfCheck+selfCheck	act 1C	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL150	#4	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 1H	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
