JDEF	HIS1007	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed the video with a play button and image]		tag:[video link]
JDEF	HIS1007	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed this video with a play button and image]		tag:[video link]
JDEF	HIS1007	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed this video with an image and a play button]		tag:[video link]
JDEF	HIS1008	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed with an image and play button]		tag:[video link]
JDEF	HIS1008	-1	button|Go to your journal|-|<div class="button">{label}</d	[embed this video with a play button and an image]		tag:[video link]
JDEF	HIS1008	-1	button|Go to your journal|-|<div class="button">{label}</d	[please add click yes/ no buttons next to the following list, the correct answers are underlined]		black:City authorities talked to boycott leaders. The KKK walked the streets of Montgomery. Bus companies raised the fare. Bom
JDEF	HIS1008	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed the video with a play button and image]		tag:[video link]
JDEF	HIS1008	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed the video with a play button and image]		tag:[video link]
JDEF	MUS1006	-1	button|Go to your journal|-|<div class="button">{label}</d	[Can the below pictures be buttons which take students to pages below?]		tag:[image]
JDEF	MXFU402	-1	button|Go to your journal|URL|<div class="button">{label}</d	[go to journal]	https://mytekuraschool.sharepoint.com/:w:/r/sites/TeAraWhakamua381/_layouts/15/Doc.aspx?sourcedoc=%7BA660BA9B-7580-461B-	tag:[end activity]
JDEF	PHE1003	-1	button|Go to your journal|-|<div class="button">{label}</d	[Button - click here - link to come]		tag:[Body]
JDEF	PHE1003	-1	button|Go to your journal|-|<div class="button">{label}</d	[Button - click here - link to come]		tag:[Body]
JDEF	PHE1003	-1	button|Go to your journal|-|<div class="button">{label}</d	[Button - click here - link to come]		tag:[Body]
JDEF	SSCI104	-1	button|Go to your journal|-|<div class="button">{label}</d	[choice buttons x2]		black:**Task 1:** Paste your screenshots of your two map pop-ups in your journal so your kaiako can read it too. Explain why y
JDEF	SSCI104	-1	button|Go to your journal|URL|<div class="button">{label}</d	[embed image button]	https://drive.google.com/drive/folders/1af3DRJOfQ4wf4de8u7u_GxfrYjTJk_j9?usp=drive_link	tag:[go to journal]
JDEF	SSFUN02	-1	button|Go to your journal|-|<div class="button">{label}</d	[Add button]		tag:Quiz button
JDEF	TEDC401	-1	button|Go to your journal|-|<div class="button">{label}</d	[Alert with Buttons linking to each tool below]		table:
JDEF	TEDC402	-1	button|Go to your journal|-|<div class="button">{label}</d	[clickdrops with button PDF modals]		tag:[H3]
JDEF	TEFUN05	-1	button|Go to your journal|-|<div class="button">{label}</d	[audio, video, upload button]		tag:[end quiz]
JDEF	WJFUN205	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert links/buttons to the individual sections with an image, something like this or use image links that have already		phasebreak:
JDEF	WJFUN208	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert links/buttons to the 2 tiles as per the following].		phasebreak:
JDEF	WJFUN211	-1	button|Go to your journal|-|<div class="button">{label}</d	[End activity] [Reset button]		tag:[Body]
JDEF	WJFUN304	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert links/buttons to the 4 tiles as per global parameters, with the following wording on the tiles; Compound–Complex		phasebreak:
JDEF	WJFUN304	-1	button|Go to your journal|-|<div class="button">{label}</d	[Check button] [Reset button]		tag:[end activity]
JDEF	WJFUN304	-1	button|Go to your journal|-|<div class="button">{label}</d	[Check button] [Reset button]		tag:[End activity]
JDEF	WJFUN304	-1	button|Go to your journal|-|<div class="button">{label}</d	[Check button] [Reset button]		tag:[End activity]
JDEF	WJFUN305	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert links/buttons to the 2 tiles as per the following]		black:Tab 1: Audience, Purpose & Reaction Tab 2: Form, Genre and Style
JDEF	WJFUN306	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert links/buttons to the 2 tiles as per the following]		black:Tab 1: Audience and purpose Tab 2: Choosing modes for effect
JDEF	WJFUN307	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert links/buttons to the 2 tiles as per the following]		tag:[Tab 1]
JDEF	WJFUN308	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert links/buttons to the 2 tiles as per the following]		black:Choosing words carefully Language features for impact
JDEF	XDLS908	-1	button|Go to your journal|-|<div class="button">{label}</d	[3 buttons - film, camera and microphone]		tag:[End dropbox Activities]
JDEF	XGF9001	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert button to EXPlore once it’s available]		tag:[body]
JDEF	XGF9002	-1	button|Go to your journal|-|<div class="button">{label}</d	[Buttons for external links]		tag:[Button 1] [H3]
JDEF	XGF9002	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert button to websites]		tag:[Button 1] [H3]
JDEF	XGF9002	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert buttons to websites – across the page]		tag:[Button 1]
JDEF	XGF9002	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert buttons to websites]		tag:[Button 1]
JDEF	XGF9002	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert button to website]		tag:[Button 1]
JDEF	XGF9002	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert buttons to website]		tag:[Button 1]
JDEF	XGF9002	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert buttons to websites]		tag:[Button 1] [H3]
JDEF	XGF9002	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert button to website]		tag:[Button 1]
JDEF	XGF9002	-1	button|Go to your journal|-|<div class="button">{label}</d	[Insert button to website]		tag:[Button 1]
JDEF	XLP05	-1	button|Go to your journal|-|<div class="button">{label}</d	[Button]		tag:Link to pdf
JDEF	XLP05	-1	button|Go to your journal|-|<div class="button">{label}</d	[Button]		tag:Link to pdf
JDEF	XLP05	-1	button|Go to your journal|-|<div class="button">{label}</d	[Button]		tag:Link to pdf
JDEF	XLP05	-1	button|Go to your journal|-|<div class="button">{label}</d	[Button]		tag:Link to pdf
JDEF	XWHA02	-1	button|Go to your journal|-|<div class="button">{label}</d	[Button]		tag:[Activity]
JDEF	XWHA02	-1	button|Go to your journal|-|<div class="button">{label}</d	[button]		:
JDEF	XWHA02	-1	button|Go to your journal|-|<div class="button">{label}</d	[button]		:
JDEF	XWHA02	-1	button|Go to your journal|-|<div class="button">{label}</d	[button]		:
