HES1007	7A	h3	body:activity	body:activity	Summarise the article
HES1007	7B	h3	body:activity	body:activity	Menstruation resources
HES1007	7C	h3	body:activity	body:free	Menstruation experiences
HES1007	7D	h3	header:other	header:other	Evaluate factors that influence hauora
HES1007	8A	h3	body:activity	body:activity	Summarise the article
HES1007	8C	h3	body:activity	body:free	Unpacking youth and porn research
HES1007	8D	h3	header:other	header:other	Evaluate factors that influence hauora
HPFUN303	1A	h3	body:activity	body:activity	Scenario sorting
HPFUN402		h3	body:activity	body:free	Personal responsibility 
MXEO401	2E	h3	—	body:free	Education Perfect
MXEO401	3D	h3	—	body:free	Education perfect. 
MXEX201	1B	h3	body:activity	body:free	Aotearoa | New Zealand
MXEX201	1C	h3	body:activity	body:free	Your place
MXEX201	2A	h3	body:activity	body:free	Using Maps
MXEX201	2C	h3	body:activity	body:free	Legend and Key
MXEX201	3A	h3	header:other	body:free	Grid references
MXEX201	3B	h3	body:activity	body:free	Using a Scale
MXEX201	4B	h3	header:other	header:other	Your Neighbourhood
MXEX202	1	h3	body:activity	body:free	Measuring 1 cup
MXEX202	2	h3	body:free	body:free	Double or Half
MXEX202	2	h3	body:activity	body:free	Fun Water Challenge
MXEX202	3	h3	body:activity	body:free	Fruit Smoothie
MXEX202	1	h3	—	—	Let's get baking.
MXEX202	2	h3	—	body:free	Saying Thanks
MXEX202	1	h3	header:other	header:other	Buying Ingredients
MXEX202	2	h3	—	—	Let’s get cooking
MXEX202	3	h3	body:activity	body:free	Plan a family meal.
MXEX401	1B	h3	body:activity	body:activity	*A hands on activity*
MXEX401	3A	h2	—	body:activity	*MEMORY GAME* ✅*(like the one in module MX0521).*
MXEX401	3B	h2	—	body:activity	Similar Triangles practice
MXEX401	3C	h2	body:activity	body:activity	Practical activity
MXEX401	4D	h2	header:other	header:other	**Pythagoras Theorem practice**
MXEX401	5A	h2	body:activity	body:activity	**Centre of enlargement and scale factor**
MXEX401	5B	h2	body:activity	body:activity	**Get creative**
MXFL201	2A	h3	body:activity	body:free	Discovering tourism in the regions
MXFL202	6A	h2	body:activity	body:activity	Which graph will you use?
PHE1003	7	h1	body:activity	header:other	Test your knowledge
TEFUN02	2B	h3	body:activity	body:free	Optional activity: your turn
TEFUN08	2A	h3	—	body:activity	**Share your understanding**
TEFUN08	3A	h3	—	body:activity	**Share your understanding**
TEFUN08	4A	h3	—	body:activity	**Share your understanding**
WJFUN113	1A	h3	body:activity	body:activity	Match them up
WJFUN206	2D	h3	body:activity	body:free	Get ready to write
WJFUN208	1C	h2	body:activity	body:free	Show your learning
WJFUN208	2C	h3	body:activity	body:free	Using stronger words
WJFUN211	1B	h3	body:activity	body:activity	Name the Feature
WJFUN304	2C	h3	body:free	body:free:side	Expanding sentence meaning
WJFUN304	4A	h3	body:activity	—	Spot the structure
XGF9002	1A	h3	body:free	body:activity	Beyond the myths: understanding your gifted child
XGF9002	2A	h3	body:activity	body:free	Emotion patterns check-in
XGF9002	2B	h3	body:activity	body:activity	Responding with calm and connection
XGF9002	2C	h3	body:activity	body:activity	Empathy match-up
XGF9002	3B	h3	body:activity	body:activity	What builds resilience? 
XGF9002	3C	h3	body:activity	body:activity	Flip the script – what could I say instead? 
XGF9002	4C	h3	body:activity	body:activity	Everyday spark finder
XGF9002	5A	h3	body:activity	body:activity	Structure or freedom? 
XGF9002	5B	h3	body:activity	body:activity	Routine builder match-up
XGF9002	5C	h3	body:activity	body:activity	Overload or rebalance
XGF9002	6A	h3	body:activity	body:activity	Questions that open thinking
XGF9002	7B	h3	body:activity	body:activity	Words we use
XGF9002	7C	h3	body:activity	body:activity	Responding to setbacks
XGF9002	8A	h3	body:activity	body:activity	Why community matters
XGF9002	8B	h3	body:activity	body:activity	Mapping support across Aotearoa New Zealand
XGF9003	2A	h3	—	—	Let's get organised! 
XGF9003	2C	h3	body:activity	body:activity	Putting the day in order
XGF9003	2D	h3	body:activity	body:activity	Time it!
XGF9003	2E	h3	body:activity	body:activity	Planning your week 
XGF9003	2H	h3	body:activity	body:activity	Getting started
XGF9003	3A	h3	body:activity	body:alert	Rate my self-regulation
XGF9003	3C	h3	body:activity	body:free	Green Light, Yellow Light, Red Light
XGF9003	3D	h3	body:activity	body:alert	Can you control your impulses?
XGF9003	3E	h3	body:activity	body:free	Attention and focus: match the meanings
XGF9003	4A	h2	body:activity	body:alert	Problem solving with flexible thinking    
XGF9003	4C	h3	body:activity	body:activity	Metacognitive questions to ask yourself
XGF9003	5B	h3	body:activity	body:free	Going shopping
XGF9003	5C	h3	body:activity	body:free	Spot the difference
XGF9003	5E	h3	body:free	body:free	DECIDE model
XGF9004	4A	h2	—	body:activity	True false detective
XGF9006	3A	h3	body:activity	body:activity	Is it a Big Question?
XGF9006	3B	h3	body:activity	body:free	Question builder tool
XGF9006	4B	h3	body:activity	body:alert	Note-taking researcher
XGF9006	6D	h3	body:activity	body:free	Feedback circles
XGF9006	7A	h3	body:activity	body:activity	genius hour Vocabulary builder
XGF9006	7B	h3	body:activity	body:alert	Mystery reflection – what's behind the door? 
XGF9006	7D	h3	body:activity	body:activity	My genius hour growth timeline
