gold externalButtons 873 on 440 pages / 198 modules (prepared 198, prep refused 0)
  source: HREF 526 · TEXT-only 140 · NONE 207 · NOPREP 0

== gold buttons by WT source signature (count · pages · modules · Claude today) ==
  NONE                                                        207 · 135 pages ·  84 mods · claude {"ABSENT":187,"PLAIN":7,"A":11,"BUTTON_PLAIN":1,"BUTTON":1}
  HREF/para/[template tab here]/INLINE/URL                      1 ·   1 pages ·   1 mods · claude {"ABSENT":1}
  HREF/para/[image]/STANDALONE/URL                              1 ·   1 pages ·   1 mods · claude {"ABSENT":1}
  TEXT/para/[body for modal]/INLINE                             1 ·   1 pages ·   1 mods · claude {"ABSENT":1}
  HREF/para/[link to pdf]/STANDALONE/URL                        1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[h lesson]/INLINE                                   1 ·   1 pages ·   1 mods · claude {"ABSENT":1}
  TEXT/para/[accordion]/INLINE                                  1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[link httpsplaygooglecomstoreappsdetailsidnztrafficsignshlen]/INLINE/list/URL    1 ·   1 pages ·   1 mods · claude {"BUTTON":1}
  HREF/para/[supervisor two person]/INLINE/URL                  1 ·   1 pages ·   1 mods · claude {"BUTTON":1}
  HREF/para/[kiwi kai]/STANDALONE                               1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[button interactive link]/INLINE                    1 ·   1 pages ·   1 mods · claude {"ABSENT":1}
  TEXT/para/[button weblink]/STANDALONE                         1 ·   1 pages ·   1 mods · claude {"ABSENT":1}
  HREF/para/[button  external]/STANDALONE/URL                   1 ·   1 pages ·   1 mods · claude {"BUTTON_PLAIN":1}
  HREF/para/[here is a]/STANDALONE                              1 ·   1 pages ·   1 mods · claude {"BUTTON_PLAIN":1}
  HREF/para/[video]/STANDALONE                                  1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[image]/INLINE                                      1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[source]/STANDALONE/URL                             1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[embedded mapleftcentre]/INLINE/URL                 1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[source  papers]/STANDALONE/URL                     1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[pdf]/STANDALONE/URL                                1 ·   1 pages ·   1 mods · claude {"ABSENT":1}
  HREF/para/[embed link or]/STANDALONE/URL                      1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[please embed this]/STANDALONE/URL                  1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[button statistics table]/STANDALONE/URL            1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[button map]/STANDALONE/URL                         1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[add button button]/STANDALONE/URL                  1 ·   1 pages ·   1 mods · claude {"BUTTON_PLAIN":1}
  HREF/para/[click drop six]/INLINE/URL                         1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[slide  with]/STANDALONE                            1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[supervisor note]/INLINE/URL                        1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[slide  screenshot]/STANDALONE/URL                  1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[button create your]/STANDALONE/URL                 1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[url httpsactionforhappinessorgallcalendars]/INLINE    1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[externallink]/STANDALONE/URL                       1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[embed video]/STANDALONE                            1 ·   1 pages ·   1 mods · claude {"ABSENT":1}
  TEXT/para/[external link]/STANDALONE                          1 ·   1 pages ·   1 mods · claude {"BUTTON":1}
  TEXT/para/[activity heading h]/INLINE                         1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[external linkbutton]/INLINE/URL                    1 ·   1 pages ·   1 mods · claude {"BUTTON_PLAIN":1}
  HREF/para/[button external link]/INLINE/URL                   1 ·   1 pages ·   1 mods · claude {"BUTTON_PLAIN":1}
  HREF/para/[insert item ]/INLINE                               1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[insert item ]/STANDALONE                           1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[insert item ]/STANDALONE                           1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[m modal insert]/INLINE                             1 ·   1 pages ·   1 mods · claude {"A":1}
