
== ALL — Claude row-open h3 with no gold heading of that text: 764
   NOWHERE in gold — WT h3                 15 (0.33)  pages   12 / modules   6
   gold inside WIDGET (li)                  6 (0.13)  pages    2 / modules   2
   gold p                                   4 (0.09)  pages    4 / modules   3
   NOWHERE in gold — WT not found           3 (0.07)  pages    3 / modules   2
   NOWHERE in gold — WT untagged            3 (0.07)  pages    3 / modules   2
   gold header/menu h1                      3 (0.07)  pages    3 / modules   2
   gold inside WIDGET (h4)                  3 (0.07)  pages    1 / modules   1
   gold merged into p                       2 (0.04)  pages    2 / modules   2
   gold reworded (h3)                       2 (0.04)  pages    1 / modules   1
   gold reworded (p)                        1 (0.02)  pages    1 / modules   1
   gold merged into h3                      1 (0.02)  pages    1 / modules   1
   gold a                                   1 (0.02)  pages    1 / modules   1
   gold merged into li                      1 (0.02)  pages    1 / modules   1

== series=ART10 — Claude row-open h3 with no gold heading of that text: 33
   NOWHERE in gold — WT h3                 17 (0.52)  pages    3 / modules   3
   NOWHERE in gold — WT h2                  8 (0.24)  pages    5 / modules   3
   NOWHERE in gold — WT untagged            3 (0.09)  pages    2 / modules   2
   NOWHERE in gold — WT not found           2 (0.06)  pages    2 / modules   2
   gold header/menu li                      2 (0.06)  pages    1 / modules   1
   NOWHERE in gold — WT h1                  1 (0.03)  pages    1 / modules   1

== series=TEDC4 — Claude row-open h3 with no gold heading of that text: 33
   NOWHERE in gold — WT not found          23 (0.70)  pages   12 / modules   2
   gold inside WIDGET (h4)                  5 (0.15)  pages    1 / modules   1
   gold merged into h4 (widget)             2 (0.06)  pages    1 / modules   1
   gold p                                   1 (0.03)  pages    1 / modules   1
   gold inside WIDGET (h3)                  1 (0.03)  pages    1 / modules   1
   gold reworded (h3)                       1 (0.03)  pages    1 / modules   1

== series=PES10 — Claude row-open h3 with no gold heading of that text: 31
   NOWHERE in gold — WT untagged            9 (0.29)  pages    9 / modules   4
   NOWHERE in gold — WT h2                  8 (0.26)  pages    6 / modules   4
   gold header/menu h1                      6 (0.19)  pages    6 / modules   2
   NOWHERE in gold — WT h3                  4 (0.13)  pages    1 / modules   1
   NOWHERE in gold — WT h1                  2 (0.06)  pages    2 / modules   2
   gold reworded (p)                        1 (0.03)  pages    1 / modules   1
   gold p                                   1 (0.03)  pages    1 / modules   1

== series=XDLS9 — Claude row-open h3 with no gold heading of that text: 30
   NOWHERE in gold — WT h3                 15 (0.50)  pages    4 / modules   3
