COM1002	2.0	dropDown	h p I I I I p I		«[Please create an onscreen fill the gap activity. »	after«»	cell0«»	head«**Unincorporated community organisations**»	owner«»	prev«I»
COM1005	3.0	multiChoiceQuiz	X		«[Quiz 3A]»	after«Select whether the following s»	cell0«»	head«»	owner«»	prev«p»
COM1006	3.0	multiChoiceQuiz	X		«[Activity 2A- Self check multichoice]»	after«Select the most appropriate an»	cell0«»	head«»	owner«»	prev«p»
DAN1003	1.0	unclassified	h p ?		«[Interactive Activity]»	after«»	cell0«»	head«Drag and drop»	owner«»	prev«p»
DAN1004	1.0	unclassified	h p T		«[Interactive Activity]»	after«»	cell0«»	head«»	owner«»	prev«p»
DAN1004	2.0	carousel	X		«[Carousel slideshow]»	after«»	cell0«»	head«»	owner«»	prev«p»
DTC1004	2.0	dropDown	E		«[Drop Box] –»	after«Working towards DTC1004 – Jour»	cell0«»	head«»	owner«»	prev«X»
DTC1005	17.0	dropDown	h p h p h p p h		«[Dropdown]»	after«»	cell0«»	head«Video resolution»	owner«»	prev«h»
ENG1004	0.0	dropDown	X		«[Button – ENG1004 Working towards dropbox]»	after«»	cell0«»	head«»	owner«»	prev«e!»
ENG1004	1.0	dropDown	X		«[Button – ENG1004 Working towards dropbox]»	after«»	cell0«»	head«»	owner«»	prev«e!»
ENG1004	2.0	dropDown	X		«[Button – ENG1004 Working towards dropbox]»	after«»	cell0«»	head«»	owner«»	prev«e!»
ENG1005	0.0	dropDown	X		«[Button – ENG1005 Working towards dropbox]»	after«»	cell0«»	head«»	owner«»	prev«p!»
ENG1005	1.0	dropDown	h p e		«[Button – ENG1005 Working towards dropbox]»	after«»	cell0«»	head«Final assessment.»	owner«»	prev«p!»
ENG1005	2.0	dropDown	h p e		«[Button – ENG1005 Working towards dropbox]»	after«»	cell0«»	head«Final assessment.»	owner«»	prev«p»
ENGC102	4.0	dragAndDrop	X		«[drag and drop] Are we able to take the captions o»	after«»	cell0«»	head«»	owner«»	prev«p»
ENGC201	3.0	multiChoiceQuiz	E		«[quiz]»	after«https://docs.google.com/docume»	cell0«»	head«»	owner«»	prev«p»
ENGC204	3.0	multiChoiceQuiz	E		«[quiz link]»	after«https://docs.google.com/docume»	cell0«»	head«»	owner«»	prev«e»
ENGC204	4.0	dropDown	X		«[upload to dropbox]»	after«»	cell0«»	head«»	owner«»	prev«p»
ENGC204	4.0	dropDown	X		«[upload to dropbox]»	after«»	cell0«»	head«»	owner«»	prev«p»
ENGC204	4.0	dropDown	E		«[go to dropbox]»	after«»	cell0«»	head«»	owner«»	prev«T!»
ENGC206	6.0	carousel	X		«[Insert original Lesson 5 Pūha slideshow with audi»	after«»	cell0«»	head«»	owner«»	prev«p»
ENGC401	7.0	dropDown	E		«[dropbox]»	after«Upload to dropbox»	cell0«»	head«»	owner«»	prev«p»
ENGC403	1.0	dropDown	E		«[insert Dropbox formative work add audio visual op»	after«»	cell0«»	head«»	owner«»	prev«X!»
ENGC403	2.0	dropDown	h		«] [insert dropbox formative assessment include aud»	after«»	cell0«»	head«Ka pai! You are going well.»	owner«»	prev«e»
ENGI103	6.0	dropDown	E		«[upload to dropbox]»	after«»	cell0«»	head«»	owner«»	prev«p!»
ENGI301	5.0	dropDown	E		«[upload to dropbox]»	after«»	cell0«»	head«»	owner«»	prev«p»
ENGI302	6.0	dropDown	E		«[link to dropbox]»	after«Go to dropbox»	cell0«»	head«»	owner«»	prev«p»
ENGI303	3.0	dropDown	E		«[go to dropbox]»	after«»	cell0«»	head«»	owner«»	prev«X!»
ENGI303	5.0	typing	X		«[Typing quiz standard autocheck] possible answers:»	after«»	cell0«»	head«»	owner«»	prev«p»
ENGI405	5.0	dropDown	X		«[dropbox button]»	after«Working towards»	cell0«»	head«»	owner«»	prev«e!»
ENGJ202	5.0	dropDown	E		«[link to dropbox]»	after«Go to dropbox»	cell0«»	head«»	owner«»	prev«e»
ENGJ302	9.0	dropDown	E		«[Upload to dropbox]»	after«»	cell0«»	head«»	owner«»	prev«p»
ENGJ402	1.0	modal	p		«[If correct please let the person know by having ‘»	after«»	cell0«»	head«»	owner«»	prev«e!»
ENGJ403	6.0	dropDown	h		«[add a button to the working towards dropbox – for»	after«»	cell0«»	head«Nearly there!»	owner«»	prev«p»
ENGR201	4.0	modal	X		«[modal]»	after«Graph information https://driv»	cell0«»	head«»	owner«»	prev«p»
ENGR201	6.0	dropDown	X		«[upload to dropbox] [Engagement trigger]»	after«»	cell0«»	head«»	owner«»	prev«p!»
ENGR302	4.0	modal	X		«[Modal 1]»	after«Equivalent fFractions revisite»	cell0«»	head«»	owner«»	prev«p»
ENGS102	1.0	dropDown	E		«[go to dropbox]»	after«»	cell0«»	head«»	owner«»	prev«T!»
ENGS102	2.0	modal	h p p p e I X		«[modal]»	after«https://www.youtube.com/watch?»	cell0«»	head«*The Three Cattle Dogs Gruff*»	owner«»	prev«p»
ENGS102	3.0	dropDown	E		«[upload to dropbox]»	after«»	cell0«»	head«»	owner«»	prev«p!»
ENGS102	6.0	dropDown	E		«[upload to dropbox] Engagement trigger»	after«»	cell0«»	head«»	owner«»	prev«p!»
ENGS201	3.0	modal	X		«(please ensure this stands out) [modal] Insert Rea»	after«https://tekura.desire2learn.co»	cell0«»	head«»	owner«»	prev«e»
ENGS201	7.0	dropDown	E		«[upload to dropbox]»	after«»	cell0«»	head«»	owner«»	prev«p!»
ENGS301	7.0	dropDown	X		«[upload to dropbox]»	after«»	cell0«»	head«»	owner«»	prev«p!»
ENGS401	1.0	dropDown	E		«[upload to dropbox]»	after«»	cell0«»	head«»	owner«»	prev«p!»
