writer links (non-media) 14461; lost from Claude 3626
tag | gold | lost links | modules | families | examples
(no tag)                  | gold lacks it | 1192 | 234 | {'HIS': 227, 'AGH': 90, 'HPFUN': 90, 'PES': 88} | AGH1002 L1085: naturcycle.com/a-better-understanding-of-soil-ph ;; AGH1002 L1087: tekura.desire2learn.com/d2l/le/content/12099/viewcontent/164103/view ;; AGH1003 L1415: tekura.desire2learn.com/d2l/le/content/12099/viewcontent/1647
self check                | gold lacks it |   13 |   8 | {'BLL': 13} | BLL157 L145: drive.google.com/drive/folders/1ntsu8nhzlzxmorxn1fyw-ff7pud73c7f ;; BLL173 L173: tekuradev.desire2learn.com/d2l/le/content/8843/viewcontent/90544/view ;; BLL175 L202: tekuradev.desire2learn.com/d2l/le/content/8843/vie
insert ai audio animated  | gold lacks it |   12 |  12 | {'BLL': 12} | BLL235 L63: docs.google.com/document/d/1ycdysrvx9ny8ap4l4a915rpfhy9po0kz/edit ;; BLL236 L65: docs.google.com/document/d/1whsswyv3tlbhmeiikjmzfefoakm3kapg/edit ;; BLL237 L71: docs.google.com/document/d/1n2i7v8tdszm5cgfoqfpsclzsdnqp
body on flip card         | gold lacks it |   11 |   1 | {'ANZH': 11} | ANZH203 L420: theprow.org.nz/new-zealand-company ;; ANZH203 L420: theprow.org.nz/charles-heaphy ;; ANZH203 L420: theprow.org.nz/kehu-maori-guide-extraordinaire
link                      | gold lacks it |   11 |   5 | {'ANZH': 8, 'HIS': 1, 'MXFL': 1, 'TEFUN': 1} | ANZH301 L1225: paperspast.natlib.govt.nz/periodicals/te-ao-__ ;; ANZH301 L1226: nzonscreen.com/title/to-live-in-the-city-__ ;; ANZH301 L1227: ngataonga.org.nz/__
drop and drag N           | gold lacks it |   11 |   2 | {'BLL': 11} | BLL220 L415: drive.google.com/drive/u/0/folders/1ogu4max5tsf3zqh1y4jkybp2nxspjnjr ;; BLL220 L421: drive.google.com/drive/u/0/folders/1ogu4max5tsf3zqh1y4jkybp2nxspjnjr ;; BLL220 L421: drive.google.com/drive/u/0/folders/1ogu4max5tsf
drag and drop + autocheck | gold lacks it |   11 |   3 | {'BLL': 11} | BLL245 L307: drive.google.com/file/d/1vtifggcznzruxli1o64siqrzp7ojoaa7/view?usp=dri ;; BLL245 L308: drive.google.com/file/d/1vtifggcznzruxli1o64siqrzp7ojoaa7/view?usp=dri ;; BLL245 L309: drive.google.com/file/d/1vtifggcznzruxli1o6
drag and drop – auto chec | gold lacks it |   11 |   2 | {'BLL': 11} | BLL250 L312: drive.google.com/file/d/1sq7y1a36u1vtictek69rklyvsimti62-/view?usp=dri ;; BLL250 L313: drive.google.com/file/d/1sq7y1a36u1vtictek69rklyvsimti62-/view?usp=dri ;; BLL250 L314: drive.google.com/file/d/1sq7y1a36u1vtictek6
hinfo trigger             | gold lacks it |   11 |   2 | {'BLL': 11} | BLL261 L433: mytekuraschool.sharepoint.com/:u:/s/tearawhakamua381/iqcroicdnhknqkyzo ;; BLL261 L435: mytekuraschool.sharepoint.com/:u:/s/tearawhakamua381/iqcroicdnhknqkyzo ;; BLL261 L437: mytekuraschool.sharepoint.com/:u:/s/tearawh
image-site link           | gold HAS it   |   10 |   1 | {'ANZH': 10} | ANZH205 L363: nzhistory.govt.nz/media/interactive/waitangi-treaty-copy ;; ANZH205 L364: nzhistory.govt.nz/media/interactive/waitangi-treaty-copy ;; ANZH205 L364: nzhistory.govt.nz/media/interactive/manukau-kawhia-treaty-copy
drag and drop - autocheck | gold HAS it   |   10 |   1 | {'BLL': 10} | BLL240 L543: drive.google.com/file/d/1-yqt7kbyrbwoo3at7mulncztmgtq7tff/view?usp=dri ;; BLL240 L544: drive.google.com/file/d/1-yqt7kbyrbwoo3at7mulncztmgtq7tff/view?usp=dri ;; BLL240 L545: drive.google.com/file/d/1-yqt7kbyrbwoo3at7m
audiohover                | gold lacks it |   10 |   1 | {'TRR': 10} | TRR110 L262: mytekuraschool.sharepoint.com/:i:/t/teroopwhanakemarautangaoaotearoa/e ;; TRR110 L499: mytekuraschool.sharepoint.com/:u:/t/teroopwhanakemarautangaoaotearoa/e ;; TRR110 L499: mytekuraschool.sharepoint.com/:u:/t/teroopw
alert                     | gold lacks it |    9 |   8 | {'GENO': 2, 'CEDO': 1, 'FRNO': 1, 'MXEX': 1} | CEDO402 L604: mytekuraschool.sharepoint.com/:w:/s/tearawhakamua381/etq_babcdmrloyzkv ;; FRNO901 L114: mytekuraschool.sharepoint.com/:x:/s/tearawhakamua381/iqash5ksev96s648s ;; GENO901 L638: mytekuraschool.sharepoint.com/:w:/s/tear
image like                | gold lacks it |    9 |   5 | {'ENFUN': 6, 'ENGI': 2, 'ENGS': 1} | ENFUN02 L395: drive.google.com/file/d/1lug4hekgjnpycrsfgielclqmqgjcuyda/view?usp=dri ;; ENFUN02 L395: drive.google.com/file/d/1jgb_dolcymipp3iypyyth4b6iva2kako/view?usp=dri ;; ENFUN03 L204: canva.com/design/daflv_5bhi8/k9ibjlw8dbt
click drop                | gold lacks it |    9 |   3 | {'EXIP': 7, 'OSOH': 2} | EXIP901 L1179: blog.tepapa.govt.nz/2018/08/06/how-to-design-an-exhibition-for-teens-c ;; EXIP901 L1179: forbes.com/sites/quora/2016/09/22/10-smart-ways-to-make-any-powerpoint ;; EXIP901 L1179: piktochart.com/blog/how-to-make-a-pos
