pairs 1956; position-free ratio mean 73.082 % (the gate's difflib ratio is at most this; the gap is the ORDER loss)
total skeleton lines: gold 229189 / claude 197222; EXTRA lines (claude over gold, per page) 45894; MISSING lines (gold over claude) 77861

==== EXTRA — labels Claude ships more of than the gold on the same page (sum of per-page excess) ====
 excess  pages  mods gold-tot  cl-tot  label  |  where
     98     94    94      100     162  div.activity[number=1B]  |  template=Standard 74 (0.76); subject=1-10 Blended Literacy 34 (0.35); subject=1-10 Mathematics 18 (0.18); template=Inquiry 15 (0.15)
     96     94    92       69     136  div.activity[number=3A]  |  template=Standard 71 (0.74); subject=1-10 Mathematics 19 (0.20); subject=1-10 English 18 (0.19); template=Fundamentals 13 (0.14)
     93     65    27      249     182  div  |  template=Standard 85 (0.91); subject=ANZH 54 (0.58); subject=NCEA1 16 (0.17); template=Fundamentals 7 (0.08)
     93     12     5      137     130  mrow  |  template=Standard 93 (1.00); subject=1-10 Mathematics 52 (0.56); subject=NCEA1 40 (0.43); subject=1-10 Science 1 (0.01)
     86     74    56      303     184  div.col-12.col-md-4.paddingLR  |  template=Standard 71 (0.83); subject=1-10 English 32 (0.37); subject=ConnectED 13 (0.15); subject=Leaving to Learn 13 (0.15)
     83     76    67      104     101  ┌ 3× repeated block of 2:  |  template=Standard 55 (0.66); subject=1-10 Mathematics 15 (0.18); subject=1-10 Blended Literacy 13 (0.16); template=Fundamentals 11 (0.13)
     78     52    50      682     116  div.col-12.col-md-4.offset-md-0  |  subject=1-10 Blended Literacy 49 (0.63); template=Standard 42 (0.54); template=Inquiry 28 (0.36); subject=1-10 Mathematics 6 (0.08)
     77     68    60      124     120  ┌ 9× repeated:  |  template=Standard 54 (0.70); subject=1-10 Mathematics 20 (0.26); subject=NCEA1 14 (0.18); template=Inquiry 13 (0.17)
     77     77    35     1614    1634  a#next-lesson  |  template=Standard 56 (0.73); subject=Leaving to Learn 45 (0.58); subject=NCEA1 15 (0.19); template=Inquiry 14 (0.18)

==== MISSING — labels the gold has more of than Claude on the same page (sum of per-page deficit) ====
deficit  pages  mods gold-tot  cl-tot  label  |  where
   5651   1039   345    26777   24538  p  |  template=Standard 3875 (0.69); subject=1-10 Mathematics 1210 (0.21); template=Inquiry 861 (0.15); subject=1-10 English 801 (0.14)
   5150    919   314    27000   26107  div.row  |  template=Standard 3509 (0.68); subject=1-10 Mathematics 1112 (0.22); subject=NCEA1 776 (0.15); template=Inquiry 629 (0.12)
   3347    893   309     9651    8280  ┌ 2× repeated:  |  template=Standard 2072 (0.62); subject=1-10 Mathematics 758 (0.23); template=Inquiry 514 (0.15); template=Bilingual 485 (0.14)
   2907    870   289    10961    8945  h3  |  template=Standard 1971 (0.68); subject=1-10 Mathematics 690 (0.24); template=Inquiry 492 (0.17); subject=1-10 English 461 (0.16)
   2490    860   317     9167    8231  div.col-12  |  template=Standard 1767 (0.71); subject=NCEA1 571 (0.23); template=Inquiry 401 (0.16); subject=1-10 Blended Literacy 358 (0.14)
   2453    904   341     8146    6577  WIDGET  |  template=Standard 1758 (0.72); subject=1-10 Mathematics 627 (0.26); template=Inquiry 389 (0.16); subject=1-10 Blended Literacy 294 (0.12)
   2285    779   308     4527    3059  img.img-fluid  |  template=Standard 1605 (0.70); subject=1-10 Mathematics 613 (0.27); template=Inquiry 367 (0.16); subject=1-10 Blended Literacy 353 (0.15)
   2166    693   278     2169       3  br  |  template=Standard 1627 (0.75); subject=1-10 Mathematics 723 (0.33); subject=1-10 English 434 (0.20); template=Fundamentals 320 (0.15)
   2085    719   282    11627   10927  li  |  template=Standard 1703 (0.82); subject=1-10 Mathematics 413 (0.20); subject=1-10 English 285 (0.14); subject=NCEA1 231 (0.11)
   1945    528   213    14711   17584  div.col-12.col-md-8  |  template=Standard 1374 (0.71); subject=1-10 Mathematics 425 (0.22); subject=NCEA1 353 (0.18); subject=Leaving to Learn 257 (0.13)
   1522    686   267     2632    1657  h4  |  template=Standard 1152 (0.76); subject=NCEA1 307 (0.20); subject=1-10 English 247 (0.16); subject=1-10 Mathematics 214 (0.14)
   1467    623   253     4833    4165  ul  |  template=Standard 1209 (0.82); subject=1-10 Mathematics 321 (0.22); subject=1-10 English 217 (0.15); subject=Leaving to Learn 163 (0.11)
   1464    694   307     3673    3062  ┌ 3× repeated:  |  template=Standard 1053 (0.72); template=Inquiry 286 (0.20); subject=1-10 Blended Literacy 252 (0.17); subject=1-10 Mathematics 224 (0.15)
   1407    685   276     1514     130  div.col-12.col-md-12  |  template=Standard 1048 (0.74); subject=1-10 Mathematics 266 (0.19); subject=1-10 English 198 (0.14); subject=1-10 Blended Literacy 193 (0.14)
   1307    480   219     3960    4663  b  |  template=Standard 932 (0.71); subject=1-10 English 246 (0.19); subject=NCEA1 206 (0.16); template=Fundamentals 184 (0.14)
   1234    625   223     3350    3315  a  |  template=Standard 937 (0.76); subject=1-10 Mathematics 302 (0.24); subject=NCEA1 276 (0.22); template=Inquiry 193 (0.16)
   1120    349   198     1247     239  div.clickDropContent  |  template=Standard 670 (0.60); template=Inquiry 383 (0.34); subject=1-10 Blended Literacy 366 (0.33); subject=1-10 Mathematics 159 (0.14)
   1033    595   195     1829    1432  div.button  |  template=Standard 826 (0.80); subject=1-10 Mathematics 286 (0.28); subject=NCEA1 261 (0.25); subject=1-10 English 149 (0.14)
    994    506   153      994       0  iframe.embed-responsive-item  |  template=Standard 735 (0.74); subject=NCEA1 290 (0.29); subject=1-10 Mathematics 276 (0.28); subject=1-10 English 145 (0.15)
    964    261   160     1468    1342  td  |  template=Standard 824 (0.85); subject=1-10 Mathematics 330 (0.34); subject=1-10 English 163 (0.17); subject=1-10 Blended Literacy 120 (0.12)
    847    439   156     2361    2682  h5  |  template=Standard 711 (0.84); subject=1-10 Mathematics 242 (0.29); subject=1-10 English 142 (0.17); subject=None 88 (0.10)
    834    492   271     2133    1916  ┌ 4× repeated:  |  template=Standard 627 (0.75); subject=1-10 Mathematics 174 (0.21); subject=1-10 English 121 (0.15); subject=1-10 Blended Literacy 95 (0.11)
    763    400   178     1380     817  div.icon.ratio.ratio-16x9.videoSection  |  template=Standard 479 (0.63); subject=1-10 Mathematics 200 (0.26); template=Inquiry 173 (0.23); subject=NCEA1 124 (0.16)
    662    250   106     3054    2458  span  |  template=Standard 574 (0.87); subject=1-10 English 208 (0.31); subject=1-10 Mathematics 208 (0.31); subject=ANZH 81 (0.12)
    644    422   176      682     116  div.col-12.col-md-4.offset-md-0  |  template=Standard 544 (0.84); subject=1-10 Mathematics 146 (0.23); subject=1-10 English 90 (0.14); subject=NCEA1 84 (0.13)
    625    246   155     1181    1567  tr  |  template=Standard 531 (0.85); subject=1-10 Mathematics 186 (0.30); subject=1-10 English 123 (0.20); subject=1-10 Blended Literacy 101 (0.16)
