75 leaks on 46 pages
[('[image', 22), ('[hintslider', 17), ('[h2', 6), ('[h3', 5), ('[h5', 4), ('[h1', 4), ('[hint slider', 4), ('[activity', 3), ('[body', 3), ('[clickdrop', 2), ('[drag and drop', 2), ('[answer', 1), ('[rollover', 1), ('[carousel', 1)]
  MXDI201   MXDI201_8_0.html       '[body'        … Comparing multiplication and division sums [body text] In the next activity you will need to consider the va…
  MXEO301   MXEO301_1_0.html       '[Activity'    …s up. Our final answer becomes 2³ × 3 = 24. [Activity 1A – self-marking drag and drop] Prime factorisation …
  MXFU302   MXFU302_4_0_0.html     '[H5'          …ded by 12 equals 3. What is the number? [H5] Magic Number Puzzle: Pick any number. Add 5 to i…
  MXFU302   MXFU302_6_0.html       '[carousel'    …( l ) in the equation: l=7k+2 [carousel] …
  MXS1004   MXS1004_2_0.html       '[Drag and drop' … other, irrelevant variables from having an impact. [Drag and drop] autoCheck Natch the control with the question …
  MXS1004   MXS1004_8_0.html       '[Body'        … Strength [Body text] Strength is the measure of how closely the variables …
  PWY1009   PWY1009_1_1_0.html     '[hint slider' …med between two parties: [hint slider 1] Employee [hint slider text 1] The person w…
  PWY1009   PWY1009_1_1_0.html     '[hint slider' … [hint slider 1] Employee [hint slider text 1] The person who is employed to do the work. …
  PWY1009   PWY1009_1_1_0.html     '[hint slider' … do the work. [hint slider 2] Employer [hint slider text 2] The person o…
  PWY1009   PWY1009_1_1_0.html     '[hint slider' … [hint slider 2] Employer [hint slider text 2] The person or organisation that employs or pays th…
  XGF9004   XGF9004_7_0.html       '[H3'          …to figure who took it. Can you solve the mystery? [H3] The Mystery: Someone took Timmy’s favourite toy car from…
  XGF9004   XGF9004_7_0.html       '[H3'          …k Timmy’s favourite toy car from the living room. [H3] Clues: Clue 1: The toy car was la…
