Claude row-opening h3 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h3: 2942
   gold h3 inline after WIDGET            2 (0.01)  pages    1 / modules   1
   gold h3 inline after img               2 (0.01)  pages    1 / modules   1
   gold h2 deep                           2 (0.01)  pages    2 / modules   2
   gold h3 deep                           2 (0.01)  pages    2 / modules   2
   gold h4 row-open                       2 (0.01)  pages    1 / modules   1

== subject=Online Safety (OS9000) — Claude row-open h3: 180
   gold h3 row-open                     110 (0.61)  pages   70 / modules  27
   gold h2 row-open                      12 (0.07)  pages    8 / modules   4
   gold h3 inline after p                 9 (0.05)  pages    9 / modules   8
   NOT-IN-GOLD                            7 (0.04)  pages    7 / modules   5
   gold h3 inline after WIDGET            6 (0.03)  pages    6 / modules   5
   gold h3 inline after alert             5 (0.03)  pages    5 / modules   3
   gold h4 row-open                       5 (0.03)  pages    3 / modules   3
   gold h3 inline after video             4 (0.02)  pages    4 / modules   2
   gold h3 deep                           3 (0.02)  pages    3 / modules   3
   gold h3 inline after h2                3 (0.02)  pages    3 / modules   3
   gold h3 nested:activity                3 (0.02)  pages    3 / modules   2
   gold h3 inline after br                2 (0.01)  pages    2 / modules   2
   gold h2 inline after WIDGET            2 (0.01)  pages    1 / modules   1
   gold h4 inline after WIDGET            1 (0.01)  pages    1 / modules   1

== subject=Te Marautanga o Aotearoa TMoA — Claude row-open h3: 141
   NOT-IN-GOLD                           61 (0.43)  pages   35 / modules  15
   gold h3 row-open                      37 (0.26)  pages   17 / modules   6
   gold h3 nested:activity               33 (0.23)  pages   21 / modules   7
   gold h2 row-open                       5 (0.04)  pages    3 / modules   2
   gold h2 nested:activity                1 (0.01)  pages    1 / modules   1
   gold h3 nested:alert                   1 (0.01)  pages    1 / modules   1
   gold h4 nested:alert                   1 (0.01)  pages    1 / modules   1
   gold h2 deep                           1 (0.01)  pages    1 / modules   1
   gold h3 deep                           1 (0.01)  pages    1 / modules   1

== subject=1-10 Social Science — Claude row-open h3: 117
   gold h3 row-open                      47 (0.40)  pages   14 / modules   4
   NOT-IN-GOLD                           47 (0.40)  pages   14 / modules   5
   gold h3 nested:alert                  12 (0.10)  pages   11 / modules   2
   gold h2 row-open                       3 (0.03)  pages    3 / modules   2
   gold h5 nested:activity                3 (0.03)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.01)  pages    1 / modules   1
   gold h3 inline after WIDGET            1 (0.01)  pages    1 / modules   1
   gold h4 nested:alert                   1 (0.01)  pages    1 / modules   1
   gold h2 inline after alert             1 (0.01)  pages    1 / modules   1
   gold h3 inline after p                 1 (0.01)  pages    1 / modules   1

== subject=ANZH — Claude row-open h3: 116
   gold h3 row-open                      35 (0.30)  pages   20 / modules   9
   NOT-IN-GOLD                           24 (0.21)  pages   19 / modules   6
   gold h3 inline after p                 9 (0.08)  pages    8 / modules   5
   gold h3 nested:activity                8 (0.07)  pages    7 / modules   3
   gold h3 col-open                       7 (0.06)  pages    6 / modules   2
   gold h3 deep                           5 (0.04)  pages    3 / modules   3
   gold h2 row-open                       4 (0.03)  pages    4 / modules   2
   gold h3 nested:alert                   3 (0.03)  pages    3 / modules   3
   gold h4 nested:alert                   3 (0.03)  pages    1 / modules   1
   gold h2 col-open                       3 (0.03)  pages    3 / modules   1
   gold h2 inline after alert             3 (0.03)  pages    3 / modules   1
   gold h4 nested:activity                2 (0.02)  pages    1 / modules   1
   gold h3 inline after br                1 (0.01)  pages    1 / modules   1
   gold h4 inline after video             1 (0.01)  pages    1 / modules   1

== subject=1-10 Blended Literacy — Claude row-open h3: 112
   gold h3 row-open                      68 (0.61)  pages   68 / modules  68
   NOT-IN-GOLD                           34 (0.30)  pages   27 / modules  26
   gold h3 nested:activity                5 (0.04)  pages    2 / modules   1
   gold h2 row-open                       2 (0.02)  pages    2 / modules   2
   gold h3 inline after p                 1 (0.01)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.01)  pages    1 / modules   1
   gold h3 nested:alert                   1 (0.01)  pages    1 / modules   1

== series=AGH10 — Claude row-open h3: 164
   gold h3 row-open                      58 (0.35)  pages   37 / modules   9
   NOT-IN-GOLD                           45 (0.27)  pages   25 / modules   7
   gold h3 col-open                      17 (0.10)  pages   13 / modules   6
   gold h3 inline after p                12 (0.07)  pages   11 / modules   6
   gold h3 nested:activity               12 (0.07)  pages   12 / modules   6
   gold h4 inline after p                 5 (0.03)  pages    2 / modules   1
   gold h3 inline after WIDGET            3 (0.02)  pages    3 / modules   3
   gold h3 inline after row               3 (0.02)  pages    3 / modules   1
   gold h3 inline after table             2 (0.01)  pages    2 / modules   1
   gold h3 inline after video             1 (0.01)  pages    1 / modules   1
   gold h3 deep                           1 (0.01)  pages    1 / modules   1
   gold h5 deep                           1 (0.01)  pages    1 / modules   1
   gold h3 inline after list              1 (0.01)  pages    1 / modules   1
   gold h2 inline after row               1 (0.01)  pages    1 / modules   1

== series=TEDC4 — Claude row-open h3: 152
   NOT-IN-GOLD                           34 (0.22)  pages   15 / modules   2
   gold h3 row-open                      33 (0.22)  pages   12 / modules   2
   gold h3 nested:activity               31 (0.20)  pages   12 / modules   2
   gold h3 inline after br               26 (0.17)  pages    9 / modules   2
   gold h2 row-open                       7 (0.05)  pages    4 / modules   2
   gold h2 inline after br                5 (0.03)  pages    3 / modules   1
   gold h3 inline after alert             3 (0.02)  pages    1 / modules   1
   gold h2 deep                           2 (0.01)  pages    2 / modules   2
   gold h3 deep                           2 (0.01)  pages    2 / modules   2
   gold h4 row-open                       2 (0.01)  pages    1 / modules   1
   gold h4 inline after h3                2 (0.01)  pages    2 / modules   1
   gold h4 nested:activity                1 (0.01)  pages    1 / modules   1
   gold h2 nested:activity                1 (0.01)  pages    1 / modules   1
   gold h4 inline after br                1 (0.01)  pages    1 / modules   1

== series=XGF90 — Claude row-open h3: 150
   NOT-IN-GOLD                           81 (0.54)  pages   28 / modules   5
   gold h3 row-open                      27 (0.18)  pages   18 / modules   5
   gold h3 nested:activity               14 (0.09)  pages   13 / modules   2
   gold h3 nested:alert                   7 (0.05)  pages    7 / modules   3
   gold h4 nested:alert                   7 (0.05)  pages    4 / modules   2
   gold h2 row-open                       4 (0.03)  pages    3 / modules   2
   gold h3 deep                           3 (0.02)  pages    3 / modules   2
   gold h3 inline after p                 2 (0.01)  pages    1 / modules   1
