pairs 2349; position-free ratio mean 72.549 % (the gate's difflib ratio is at most this; the gap is the ORDER loss)
total skeleton lines: gold 271762 / claude 233363; EXTRA lines (claude over gold, per page) 54848; MISSING lines (gold over claude) 93247

==== EXTRA — labels Claude ships more of than the gold on the same page (sum of per-page excess) ====
 excess  pages  mods gold-tot  cl-tot  label  |  where
    122    122    70     1932    1992  a#next-lesson  |  template=Standard 87 (0.71); subject=Leaving to Learn 45 (0.37); subject=NCEA1 38 (0.31); template=Fundamentals 17 (0.14)
    120     55    40     1381     271  div.clickDropContent  |  template=Standard 97 (0.81); subject=NCEA1 25 (0.21); subject=Online Safety (OS9000) 23 (0.19); template=Fundamentals 20 (0.17)
    116    108   108      111     190  div.activity[number=1B]  |  template=Standard 83 (0.72); subject=1-10 Blended Literacy 37 (0.32); subject=1-10 Mathematics 18 (0.16); template=Inquiry 16 (0.14)
    114    108   106       82     161  div.activity[number=3A]  |  template=Standard 87 (0.76); subject=NCEA1 22 (0.19); subject=1-10 Mathematics 20 (0.18); subject=1-10 English 19 (0.17)
    110     80    67       96     138  ┌ 10× repeated:  |  template=Standard 60 (0.55); subject=1-10 Mathematics 26 (0.24); template=Bilingual 26 (0.24); subject=Te Marautanga o Aotearoa TMoA 26 (0.24)
    101     91    81      125     121  ┌ 3× repeated block of 2:  |  template=Standard 60 (0.59); template=Fundamentals 22 (0.22); subject=1-10 Blended Literacy 15 (0.15); subject=1-10 Mathematics 14 (0.14)
     99     64    45      308     312  div.col-12.col-md-6.paddingR  |  template=Standard 87 (0.88); subject=1-10 Mathematics 26 (0.26); subject=1-10 Blended Literacy 21 (0.21); subject=ANZH 17 (0.17)
     98     89    81      204     117  ┌ 2× repeated block of 3:  |  template=Standard 69 (0.70); subject=NCEA1 24 (0.24); subject=1-10 English 18 (0.18); template=Fundamentals 17 (0.17)
     94     82    63      344     195  div.col-12.col-md-4.paddingLR  |  template=Standard 76 (0.81); subject=1-10 English 34 (0.36); template=Fundamentals 14 (0.15); subject=ConnectED 13 (0.14)
     94     64    56      780     134  div.col-12.col-md-4.offset-md-0  |  template=Standard 52 (0.55); subject=1-10 Blended Literacy 49 (0.52); template=Inquiry 28 (0.30); subject=ANZH 11 (0.12)
     93     90    90      119     171  div.activity[number=2B]  |  template=Standard 70 (0.75); subject=1-10 Blended Literacy 18 (0.19); subject=NCEA1 17 (0.18); template=Inquiry 12 (0.13)
     93     12     5      137     130  mrow  |  template=Standard 93 (1.00); subject=1-10 Mathematics 52 (0.56); subject=NCEA1 40 (0.43); subject=1-10 Science 1 (0.01)
     91     79    71      135     139  ┌ 9× repeated:  |  template=Standard 61 (0.67); subject=NCEA1 23 (0.25); subject=1-10 Mathematics 20 (0.22); template=Fundamentals 15 (0.16)

==== MISSING — labels the gold has more of than Claude on the same page (sum of per-page deficit) ====
