Claude row-opening h5 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h5: 728
== series=ARFUN — Claude row-open h5: 177
   NOT-IN-GOLD                          137 (0.77)  pages    2 / modules   2
   gold h4 inline after p                15 (0.08)  pages    2 / modules   2
   gold h4 row-open                      13 (0.07)  pages    2 / modules   2
   gold h3 row-open                       4 (0.02)  pages    2 / modules   2
   gold h4 inline after video             3 (0.02)  pages    1 / modules   1
   gold h4 inline after list              2 (0.01)  pages    2 / modules   2
   gold h3 deep                           1 (0.01)  pages    1 / modules   1
   gold h4 inline after row               1 (0.01)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.01)  pages    1 / modules   1

== template+ptype=Standard/lesson — Claude row-open h5: 166
   NOT-IN-GOLD                           71 (0.43)  pages   28 / modules  24
   gold h5 inline after p                19 (0.11)  pages   13 / modules   7
   gold h5 row-open                      11 (0.07)  pages    9 / modules   7
   gold h5 deep                           9 (0.05)  pages    4 / modules   4
   gold h4 row-open                       8 (0.05)  pages    8 / modules   8
   gold h4 inline after img               6 (0.04)  pages    3 / modules   3
   gold h3 row-open                       6 (0.04)  pages    4 / modules   4
   gold h4 inline after p                 5 (0.03)  pages    5 / modules   5
   gold h5 nested:alert                   4 (0.02)  pages    3 / modules   2
   gold h4 nested:activity                4 (0.02)  pages    4 / modules   4
   gold h4 nested:alert                   4 (0.02)  pages    4 / modules   4
   gold h4 inline after div               3 (0.02)  pages    1 / modules   1
   gold h4 deep                           2 (0.01)  pages    2 / modules   2
   gold h2 row-open                       2 (0.01)  pages    2 / modules   2

== subject+ptype=NCEA1/lesson — Claude row-open h5: 74
   NOT-IN-GOLD                           69 (0.93)  pages   12 / modules   6
   gold h4 nested:alert                   3 (0.04)  pages    3 / modules   3
   gold h2 inline after WIDGET            1 (0.01)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.01)  pages    1 / modules   1

== subject+ptype=1-10 English/lesson — Claude row-open h5: 66
   NOT-IN-GOLD                           16 (0.24)  pages    5 / modules   5
   gold h5 inline after p                15 (0.23)  pages    9 / modules   4
   gold h5 row-open                       8 (0.12)  pages    6 / modules   4
   gold h3 row-open                       5 (0.08)  pages    3 / modules   3
   gold h5 nested:alert                   4 (0.06)  pages    3 / modules   2
   gold h4 inline after div               3 (0.05)  pages    1 / modules   1
   gold h5 deep                           3 (0.05)  pages    2 / modules   2
   gold h4 nested:activity                2 (0.03)  pages    2 / modules   2
   gold h4 deep                           2 (0.03)  pages    2 / modules   2
   gold h4 row-open                       1 (0.02)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.02)  pages    1 / modules   1
   gold h4 inline after img               1 (0.02)  pages    1 / modules   1
   gold h4 nested:alert                   1 (0.02)  pages    1 / modules   1
   gold h5 inline after video             1 (0.02)  pages    1 / modules   1

== series=ENGFU — Claude row-open h5: 55
   NOT-IN-GOLD                           54 (0.98)  pages    5 / modules   1
   gold h2 inline after WIDGET            1 (0.02)  pages    1 / modules   1

== template+ptype=Inquiry/lesson — Claude row-open h5: 44
   NOT-IN-GOLD                           43 (0.98)  pages    4 / modules   1
   gold h2 inline after WIDGET            1 (0.02)  pages    1 / modules   1

== subject+ptype=1-10 English/overview — Claude row-open h5: 39
   NOT-IN-GOLD                           13 (0.33)  pages    6 / modules   6
   gold h4 nested:alert                   6 (0.15)  pages    3 / modules   3
   gold h3 row-open                       4 (0.10)  pages    4 / modules   4
   gold h4 row-open                       2 (0.05)  pages    2 / modules   2
   gold h4 inline after p                 2 (0.05)  pages    2 / modules   2
   gold h3 inline after p                 2 (0.05)  pages    2 / modules   2
   gold h3 deep                           2 (0.05)  pages    1 / modules   1
   gold h5 inline after p                 2 (0.05)  pages    1 / modules   1
   gold h4 inline after br                1 (0.03)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.03)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.03)  pages    1 / modules   1
   gold h5 inline after h3                1 (0.03)  pages    1 / modules   1
   gold h5 row-open                       1 (0.03)  pages    1 / modules   1
   gold h5 inline after col               1 (0.03)  pages    1 / modules   1

== series=ENFUN — Claude row-open h5: 38
   NOT-IN-GOLD                           13 (0.34)  pages    6 / modules   6
   gold h4 nested:alert                   6 (0.16)  pages    3 / modules   3
   gold h3 row-open                       4 (0.11)  pages    4 / modules   4
   gold h4 row-open                       2 (0.05)  pages    2 / modules   2
   gold h3 inline after p                 2 (0.05)  pages    2 / modules   2
   gold h3 deep                           2 (0.05)  pages    1 / modules   1
   gold h5 inline after p                 2 (0.05)  pages    1 / modules   1
   gold h4 inline after br                1 (0.03)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.03)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.03)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.03)  pages    1 / modules   1
   gold h5 inline after h3                1 (0.03)  pages    1 / modules   1
   gold h5 row-open                       1 (0.03)  pages    1 / modules   1
   gold h5 inline after col               1 (0.03)  pages    1 / modules   1

== subject+ptype=NCEA1/overview — Claude row-open h5: 34
   NOT-IN-GOLD                           25 (0.74)  pages    5 / modules   5
   gold h4 row-open                       2 (0.06)  pages    2 / modules   2
   gold h4 inline after alert             1 (0.03)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.03)  pages    1 / modules   1
   gold h3 inline after p                 1 (0.03)  pages    1 / modules   1
   gold h4 inline after h3                1 (0.03)  pages    1 / modules   1
   gold h4 inline after list              1 (0.03)  pages    1 / modules   1
   gold h4 col-open                       1 (0.03)  pages    1 / modules   1
   gold h4 nested:alert                   1 (0.03)  pages    1 / modules   1

== subject+ptype=1-10 Mathematics/lesson — Claude row-open h5: 33
   NOT-IN-GOLD                           15 (0.45)  pages    8 / modules   7
   gold h4 inline after img               5 (0.15)  pages    2 / modules   2
   gold h4 row-open                       4 (0.12)  pages    4 / modules   4
   gold h4 inline after p                 3 (0.09)  pages    3 / modules   3
   gold h5 row-open                       2 (0.06)  pages    2 / modules   2
   gold h5 nested:activity                2 (0.06)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.03)  pages    1 / modules   1
   gold h4 inline after row               1 (0.03)  pages    1 / modules   1

examples:
  gold h3 row-open → [('ARFUN01', 'ARFUN01_0_0.html', 'identity'), ('ARFUN02', 'ARFUN02_0_0.html', 'how to use your soundboard'), ('ARFUN02', 'ARFUN02_0_0.html', 'counterpoint and harmonic contrast musical conversations'), ('ARFUN02', 'ARFUN02_0_0.html', 'motivic development growing your musical ideas')]
