CEDO105	1.0	unclassified	h p e h p I I T		«[ACTIVITY 1A]»	after«»	cell0«»	head«What can you move?»	owner«[ACTIVITY 1A]#1A»	owned
CEDO202	0.0	unclassified	h h e p p p e p		«[Insert Right click Tab – Bringing the seasons to »	after«»	cell0«»	head«Bringing the seasons to life»	owner«[Activity 3B]#3B»	owned
COM1006	5.0	dragAndDrop	h p p p p h p T		«[Create a drag and drop activity for the content g»	after«»	cell0«»	head«HOW TO EXPLAIN FLOW-ON EFFECTS?»	owner«[Activity 4A]#4A»	owned
ENFUN01	0.0	multiChoiceQuiz	h p e X		«[Multiple-Choice Quiz]»	after«https://docs.google.com/docume»	cell0«»	head«Growing Audience Awareness»	owner«[Activity 3]#3»	owned
ENFUN03	0.0	multiChoiceQuiz	h p I X		«[Quiz]»	after«https://docs.google.com/docume»	cell0«»	head«In summary»	owner«[Activity 2E]#2E»	owned
ENFUN03	0.0	multiChoiceQuiz	h p I X		«[Quiz]»	after«https://docs.google.com/docume»	cell0«»	head«In summary»	owner«[Activity 3E]#3E»	owned
ENFUN03	0.0	multiChoiceQuiz	h p		«[Quiz]»	after«https://docs.google.com/docume»	cell0«»	head«In summary»	owner«[Activity 4C]#4C»	owned
ENFUN04	0.0	multiChoiceQuiz	h p I X		«[Multiple-Choice Quiz]»	after«https://docs.google.com/docume»	cell0«»	head«In Summary …»	owner«[Activity 4]#4»	owned
ENGI202	2.0	unclassified	h p p p p p e h		«[Activity 2A]»	after«»	cell0«»	head«The Story of Rona»	owner«[Activity 2A]#2A»	owned
ENGJ403	2.1	dropDown	h		«[insert dropbox formative work]»	after«Response Sheet 2»	cell0«»	head«Ka pai! Great work!»	owner«[Insert Activity 2C]#2C»	owned
ENGJ403	3.1	dropDown	h		«[insert dropbox formative work]»	after«Response sheet 3»	cell0«»	head«You are going well!»	owner«[Insert Activity 3C]#3C»	owned
ENGJ403	4.0	dropDown	h		«[insert dropbox formative work]»	after«Response sheet 4»	cell0«»	head«Ka pai! Great work!»	owner«[Insert Activity 4A]#4A»	owned
ENGJ403	5.0	dropDown	h		«[insert formative work dropbox with audio and visu»	after«»	cell0«»	head«Great work! You are doing really well.»	owner«[Insert Activity 5A]#5A»	owned
ENGJ403	7.0	dropDown	h e p		«[add a button to the working towards dropbox – for»	after«»	cell0«»	head«Congratulations! Ngā mihi nui. You have completed this modul»	owner«[insert Activity 7A]#7A»	owned
ENGS404	2.0	dropDown	h		«[add a button to the working towards dropbox- form»	after«»	cell0«»	head«Ka pai, you are going well.»	owner«[insert Activity 2C]#2C»	owned
ENGS404	3.1	dropDown	h		«[add a button to the working towards dropbox- form»	after«»	cell0«»	head«Ka pai, you are going well.»	owner«[Insert Activity 3D]#3D»	owned
ENGS404	5.0	dropDown	h p		«[add a button to the working towards dropbox- form»	after«»	cell0«»	head«Nice work!»	owner«[insert activity 5D]#5D»	owned
ENGS404	6.1	dropDown	h p		«[add a button to the working towards dropbox- form»	after«»	cell0«»	head«Ka pai, you are going well.»	owner«[insert Activity 6B]#6B»	owned
ENGS404	7.0	dropDown	h		«[add a button to the working towards dropbox- form»	after«»	cell0«»	head«E pai ana tō haere, you are going well!»	owner«[insert Activity 7B]#7B»	owned
ENO2060	1.0	dropDown	h p		«[add a button to the practice dropbox- formative w»	after«»	cell0«»	head«Ka pai, great work.»	owner«[Insert Activity 1C]#1C»	owned
EXIP901	2.0	multiChoiceQuiz	h p I p p p p p		«[Interactive quiz 2]»	after«»	cell0«»	head«Sophie’s essential questions»	owner«[Interactive x2] Create the fo#2»	owned
HES1002	5.0	reorder	h p I e e e e e		«[Reorder interactive]»	after«»	cell0«»	head«Most effective»	owner«[Individual activity – this ac#»	owned
HES1007	2.0	multiChoiceQuiz	h p p p p p e ?		«[Quiz instructions]»	after«Read the scenario then answer »	cell0«»	head«Scenario»	owner«[Activity 2A] [H3]#2A»	owned
HIS1002	2.0	dropDown	h p p p p I p I		«[Dropdown Quiz Autocheck]»	after«»	cell0«»	head«Actions and Responses»	owner«[Activity: Embedded] 1A#1A»	owned
HIS1002	19.0	unclassified	h p p p p p p e		«[Activity 10B]»	after«»	cell0«»	head«Causation»	owner«[Activity 10B]#10B»	owned
MXEX201	1.0	unclassified	h p e h p p p p		«[Activity 1A]»	after«»	cell0«»	head«Famous Places»	owner«[Activity 1A]#1A»	owned
MXFU402	6.0	unclassified	h p h p I T		«[Activity 6A]»	after«»	cell0«»	head«Displaying the data»	owner«[Activity 6A]#6A»	owned
MXFUN03	0.0	dragAndDrop	h I e e h I e e		«[Drag and Drop] Could these please be recreated. F»	after«»	cell0«»	head«The pencil case is»	owner«[Activity body]#»	owned
TEDC401	3.0	multiChoiceQuiz	h X		«[self check quiz]»	after«»	cell0«»	head«**Hierarchy check-up**»	owner«[Activity] 3G#3G»	owned
TEDC401	4.0	unclassified	h h p e T		«[Activity] 4C (note: this activity has 3 parts)»	after«»	cell0«»	head«**Your turn: build your prototype**»	owner«[Activity] 4C (note: this acti#4C»	owned
